sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,url_key,meta_title,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,qty,is_in_stock,manage_stock,custom_options,additional_attributes
IVERA3MG,,Default,simple,Default Category/Supplements,base,Ivera Ivermectins 3mg Tablet/s,"<p>Ivera 3mg Tablet is an anti-parasitic medicine containing Ivermectin 3mg. It works by binding to glutamate-gated chloride channels in the nerve and muscle cells of parasites, causing paralysis and death of the parasite. It is prescribed for intestinal strongyloidiasis, onchocerciasis (river blindness), scabies, head lice and certain other parasitic worm infections. Manufactured in India in WHO-GMP certified facilities. Sold in strips of 10 tablets.</p><h3>Key Benefits</h3><ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul><h3>Ingredients / Composition</h3><p>Each uncoated tablet contains Ivermectin IP 3mg. Excipients: microcrystalline cellulose, pregelatinised starch, magnesium stearate, butylated hydroxyanisole, citric acid.</p><h3>How to Use</h3><p>Take on an empty stomach with a full glass of water, exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Ivera 3mg contains Ivermectin 3mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",0.2,1,Taxable Goods,"Catalog, Search",163.20,,ivera-ivermectins-3mg-tablet-s,Ivera Ivermectins 3mg Tablet/s,"Ivera 3mg contains Ivermectin 3mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",tabs-white-blister.jpg,Ivera Ivermectins 3mg Tablet/s,tabs-white-blister.jpg,Ivera Ivermectins 3mg Tablet/s,tabs-white-blister.jpg,Ivera Ivermectins 3mg Tablet/s,100,1,1,,"brand=Ivera,form=Tablets,ingredients=Each uncoated tablet contains Ivermectin IP 3mg. Excipients: microcrystalline cellulose، pregelatinised starch، magnesium stearate، butylated hydroxyanisole، citric acid.,dosage=Take on an empty stomach with a full glass of water، exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul>"
IVERA6MG,,Default,simple,Default Category/Supplements,base,Ivera Ivermectins 6mg Tablet/s,"<p>Ivera 6mg Tablet is an anti-parasitic medicine containing Ivermectin 6mg. It works by binding to glutamate-gated chloride channels in the nerve and muscle cells of parasites, causing paralysis and death of the parasite. It is prescribed for intestinal strongyloidiasis, onchocerciasis (river blindness), scabies, head lice and certain other parasitic worm infections. Manufactured in India in WHO-GMP certified facilities. Sold in strips of 10 tablets.</p><h3>Key Benefits</h3><ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul><h3>Ingredients / Composition</h3><p>Each uncoated tablet contains Ivermectin IP 6mg. Excipients: microcrystalline cellulose, pregelatinised starch, magnesium stearate, butylated hydroxyanisole, citric acid.</p><h3>How to Use</h3><p>Take on an empty stomach with a full glass of water, exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Ivera 6mg contains Ivermectin 6mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",0.2,1,Taxable Goods,"Catalog, Search",230.00,,ivera-ivermectins-6mg-tablet-s,Ivera Ivermectins 6mg Tablet/s,"Ivera 6mg contains Ivermectin 6mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",tabs-hand-blister.jpg,Ivera Ivermectins 6mg Tablet/s,tabs-hand-blister.jpg,Ivera Ivermectins 6mg Tablet/s,tabs-hand-blister.jpg,Ivera Ivermectins 6mg Tablet/s,100,1,1,,"brand=Ivera,form=Tablets,ingredients=Each uncoated tablet contains Ivermectin IP 6mg. Excipients: microcrystalline cellulose، pregelatinised starch، magnesium stearate، butylated hydroxyanisole، citric acid.,dosage=Take on an empty stomach with a full glass of water، exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul>"
IVERA12MG,,Default,simple,Default Category/Supplements,base,Ivera Ivermectins 12mg Tablet/s,"<p>Ivera 12mg Tablet is an anti-parasitic medicine containing Ivermectin 12mg. It works by binding to glutamate-gated chloride channels in the nerve and muscle cells of parasites, causing paralysis and death of the parasite. It is prescribed for intestinal strongyloidiasis, onchocerciasis (river blindness), scabies, head lice and certain other parasitic worm infections. Manufactured in India in WHO-GMP certified facilities. Sold in strips of 10 tablets.</p><h3>Key Benefits</h3><ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul><h3>Ingredients / Composition</h3><p>Each uncoated tablet contains Ivermectin IP 12mg. Excipients: microcrystalline cellulose, pregelatinised starch, magnesium stearate, butylated hydroxyanisole, citric acid.</p><h3>How to Use</h3><p>Take on an empty stomach with a full glass of water, exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Ivera 12mg contains Ivermectin 12mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",0.2,1,Taxable Goods,"Catalog, Search",65.00,,ivera-ivermectins-12mg-tablet-s,Ivera Ivermectins 12mg Tablet/s,"Ivera 12mg contains Ivermectin 12mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",tabs-silver-blister.jpg,Ivera Ivermectins 12mg Tablet/s,tabs-silver-blister.jpg,Ivera Ivermectins 12mg Tablet/s,tabs-silver-blister.jpg,Ivera Ivermectins 12mg Tablet/s,100,1,1,"name=Pack Size / Option,type=drop_down,required=1,price_type=fixed,price=0.00,sku=30TABLETS,option_title=30 Tablets|name=Pack Size / Option,type=drop_down,required=1,price_type=fixed,price=115.00,sku=100TABLETS,option_title=100 Tablets","brand=Ivera,form=Tablets,ingredients=Each uncoated tablet contains Ivermectin IP 12mg. Excipients: microcrystalline cellulose، pregelatinised starch، magnesium stearate، butylated hydroxyanisole، citric acid.,dosage=Take on an empty stomach with a full glass of water، exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul>"
IVERA20MG,,Default,simple,Default Category/Supplements,base,Ivera Ivermectins 20mg Tablet/s,"<p>Ivera 20mg Tablet is an anti-parasitic medicine containing Ivermectin 20mg. It works by binding to glutamate-gated chloride channels in the nerve and muscle cells of parasites, causing paralysis and death of the parasite. It is prescribed for intestinal strongyloidiasis, onchocerciasis (river blindness), scabies, head lice and certain other parasitic worm infections. Manufactured in India in WHO-GMP certified facilities. Sold in strips of 10 tablets.</p><h3>Key Benefits</h3><ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul><h3>Ingredients / Composition</h3><p>Each uncoated tablet contains Ivermectin IP 20mg. Excipients: microcrystalline cellulose, pregelatinised starch, magnesium stearate, butylated hydroxyanisole, citric acid.</p><h3>How to Use</h3><p>Take on an empty stomach with a full glass of water, exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Ivera 20mg contains Ivermectin 20mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",0.2,1,Taxable Goods,"Catalog, Search",90.00,,ivera-ivermectins-20mg-tablet-s,Ivera Ivermectins 20mg Tablet/s,"Ivera 20mg contains Ivermectin 20mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",tabs-assorted.jpg,Ivera Ivermectins 20mg Tablet/s,tabs-assorted.jpg,Ivera Ivermectins 20mg Tablet/s,tabs-assorted.jpg,Ivera Ivermectins 20mg Tablet/s,100,1,1,"name=Pack Size / Option,type=drop_down,required=1,price_type=fixed,price=0.00,sku=30TABLETS,option_title=30 Tablets|name=Pack Size / Option,type=drop_down,required=1,price_type=fixed,price=160.00,sku=100TABLETS,option_title=100 Tablets","brand=Ivera,form=Tablets,ingredients=Each uncoated tablet contains Ivermectin IP 20mg. Excipients: microcrystalline cellulose، pregelatinised starch، magnesium stearate، butylated hydroxyanisole، citric acid.,dosage=Take on an empty stomach with a full glass of water، exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul>"
IVERA24MG,,Default,simple,Default Category/Supplements,base,Ivera Ivermectins 24mg Tablet/s,"<p>Ivera 24mg Tablet is an anti-parasitic medicine containing Ivermectin 24mg. It works by binding to glutamate-gated chloride channels in the nerve and muscle cells of parasites, causing paralysis and death of the parasite. It is prescribed for intestinal strongyloidiasis, onchocerciasis (river blindness), scabies, head lice and certain other parasitic worm infections. Manufactured in India in WHO-GMP certified facilities. Sold in strips of 10 tablets.</p><h3>Key Benefits</h3><ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul><h3>Ingredients / Composition</h3><p>Each uncoated tablet contains Ivermectin IP 24mg. Excipients: microcrystalline cellulose, pregelatinised starch, magnesium stearate, butylated hydroxyanisole, citric acid.</p><h3>How to Use</h3><p>Take on an empty stomach with a full glass of water, exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Ivera 24mg contains Ivermectin 24mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",0.2,1,Taxable Goods,"Catalog, Search",160.00,,ivera-ivermectins-24mg-tablet-s,Ivera Ivermectins 24mg Tablet/s,"Ivera 24mg contains Ivermectin 24mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",tabs-black.jpg,Ivera Ivermectins 24mg Tablet/s,tabs-black.jpg,Ivera Ivermectins 24mg Tablet/s,tabs-black.jpg,Ivera Ivermectins 24mg Tablet/s,100,1,1,"name=Pack Size / Option,type=drop_down,required=1,price_type=fixed,price=0.00,sku=50TABLETS,option_title=50 Tablets|name=Pack Size / Option,type=drop_down,required=1,price_type=fixed,price=110.00,sku=100TABLETS,option_title=100 Tablets","brand=Ivera,form=Tablets,ingredients=Each uncoated tablet contains Ivermectin IP 24mg. Excipients: microcrystalline cellulose، pregelatinised starch، magnesium stearate، butylated hydroxyanisole، citric acid.,dosage=Take on an empty stomach with a full glass of water، exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul>"
IVERHEAL6MG,,Default,simple,Default Category/Supplements,base,Iverheal Ivermectin 6mg Tablet/s,"<p>Iverheal 6mg Tablet is an anti-parasitic medicine containing Ivermectin 6mg. It works by binding to glutamate-gated chloride channels in the nerve and muscle cells of parasites, causing paralysis and death of the parasite. It is prescribed for intestinal strongyloidiasis, onchocerciasis (river blindness), scabies, head lice and certain other parasitic worm infections. Manufactured in India in WHO-GMP certified facilities. Sold in strips of 10 tablets.</p><h3>Key Benefits</h3><ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul><h3>Ingredients / Composition</h3><p>Each uncoated tablet contains Ivermectin IP 6mg. Excipients: microcrystalline cellulose, pregelatinised starch, magnesium stearate, butylated hydroxyanisole, citric acid.</p><h3>How to Use</h3><p>Take on an empty stomach with a full glass of water, exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Iverheal 6mg contains Ivermectin 6mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",0.2,1,Taxable Goods,"Catalog, Search",69.00,,iverheal-6-mg,Iverheal Ivermectin 6mg Tablet/s,"Iverheal 6mg contains Ivermectin 6mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",tabs-yellow.jpg,Iverheal Ivermectin 6mg Tablet/s,tabs-yellow.jpg,Iverheal Ivermectin 6mg Tablet/s,tabs-yellow.jpg,Iverheal Ivermectin 6mg Tablet/s,100,1,1,,"brand=Iverheal,form=Tablets,ingredients=Each uncoated tablet contains Ivermectin IP 6mg. Excipients: microcrystalline cellulose، pregelatinised starch، magnesium stearate، butylated hydroxyanisole، citric acid.,dosage=Take on an empty stomach with a full glass of water، exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul>"
IVERHEAL12MG,,Default,simple,Default Category/Supplements,base,Iverheal Ivermectin 12mg Tablet/s,"<p>Iverheal 12mg Tablet is an anti-parasitic medicine containing Ivermectin 12mg. It works by binding to glutamate-gated chloride channels in the nerve and muscle cells of parasites, causing paralysis and death of the parasite. It is prescribed for intestinal strongyloidiasis, onchocerciasis (river blindness), scabies, head lice and certain other parasitic worm infections. Manufactured in India in WHO-GMP certified facilities. Sold in strips of 10 tablets.</p><h3>Key Benefits</h3><ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul><h3>Ingredients / Composition</h3><p>Each uncoated tablet contains Ivermectin IP 12mg. Excipients: microcrystalline cellulose, pregelatinised starch, magnesium stearate, butylated hydroxyanisole, citric acid.</p><h3>How to Use</h3><p>Take on an empty stomach with a full glass of water, exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Iverheal 12mg contains Ivermectin 12mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",0.2,1,Taxable Goods,"Catalog, Search",85.00,,iverheal-12-mg,Iverheal Ivermectin 12mg Tablet/s,"Iverheal 12mg contains Ivermectin 12mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",tabs-pink.jpg,Iverheal Ivermectin 12mg Tablet/s,tabs-pink.jpg,Iverheal Ivermectin 12mg Tablet/s,tabs-pink.jpg,Iverheal Ivermectin 12mg Tablet/s,100,1,1,,"brand=Iverheal,form=Tablets,ingredients=Each uncoated tablet contains Ivermectin IP 12mg. Excipients: microcrystalline cellulose، pregelatinised starch، magnesium stearate، butylated hydroxyanisole، citric acid.,dosage=Take on an empty stomach with a full glass of water، exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul>"
IVERCLEAR6MG,,Default,simple,Default Category/Supplements,base,Iverclear Ivermectin 6mg Tablet/s,"<p>Iverclear 6mg Tablet is an anti-parasitic medicine containing Ivermectin 6mg. It works by binding to glutamate-gated chloride channels in the nerve and muscle cells of parasites, causing paralysis and death of the parasite. It is prescribed for intestinal strongyloidiasis, onchocerciasis (river blindness), scabies, head lice and certain other parasitic worm infections. Manufactured in India in WHO-GMP certified facilities. Sold in strips of 10 tablets.</p><h3>Key Benefits</h3><ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul><h3>Ingredients / Composition</h3><p>Each uncoated tablet contains Ivermectin IP 6mg. Excipients: microcrystalline cellulose, pregelatinised starch, magnesium stearate, butylated hydroxyanisole, citric acid.</p><h3>How to Use</h3><p>Take on an empty stomach with a full glass of water, exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Iverclear 6mg contains Ivermectin 6mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",0.2,1,Taxable Goods,"Catalog, Search",110.00,,iverclear-6-mg,Iverclear Ivermectin 6mg Tablet/s,"Iverclear 6mg contains Ivermectin 6mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",tabs-white-blister.jpg,Iverclear Ivermectin 6mg Tablet/s,tabs-white-blister.jpg,Iverclear Ivermectin 6mg Tablet/s,tabs-white-blister.jpg,Iverclear Ivermectin 6mg Tablet/s,100,1,1,,"brand=Iverclear,form=Tablets,ingredients=Each uncoated tablet contains Ivermectin IP 6mg. Excipients: microcrystalline cellulose، pregelatinised starch، magnesium stearate، butylated hydroxyanisole، citric acid.,dosage=Take on an empty stomach with a full glass of water، exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul>"
IVERJOHN12MG,,Default,simple,Default Category/Supplements,base,Iverjohn Ivermectin 12mg Tablet/s,"<p>Iverjohn 12mg Tablet is an anti-parasitic medicine containing Ivermectin 12mg. It works by binding to glutamate-gated chloride channels in the nerve and muscle cells of parasites, causing paralysis and death of the parasite. It is prescribed for intestinal strongyloidiasis, onchocerciasis (river blindness), scabies, head lice and certain other parasitic worm infections. Manufactured in India in WHO-GMP certified facilities. Sold in strips of 10 tablets.</p><h3>Key Benefits</h3><ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul><h3>Ingredients / Composition</h3><p>Each uncoated tablet contains Ivermectin IP 12mg. Excipients: microcrystalline cellulose, pregelatinised starch, magnesium stearate, butylated hydroxyanisole, citric acid.</p><h3>How to Use</h3><p>Take on an empty stomach with a full glass of water, exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Iverjohn 12mg contains Ivermectin 12mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",0.2,1,Taxable Goods,"Catalog, Search",290.00,,iverjohn-12-mg,Iverjohn Ivermectin 12mg Tablet/s,"Iverjohn 12mg contains Ivermectin 12mg, a broad-spectrum anthelmintic used to treat parasitic infections such as strongyloidiasis, onchocerciasis and scabies.",tabs-silver-blister.jpg,Iverjohn Ivermectin 12mg Tablet/s,tabs-silver-blister.jpg,Iverjohn Ivermectin 12mg Tablet/s,tabs-silver-blister.jpg,Iverjohn Ivermectin 12mg Tablet/s,100,1,1,,"brand=Iverjohn,form=Tablets,ingredients=Each uncoated tablet contains Ivermectin IP 12mg. Excipients: microcrystalline cellulose، pregelatinised starch، magnesium stearate، butylated hydroxyanisole، citric acid.,dosage=Take on an empty stomach with a full glass of water، exactly as prescribed by your doctor. Dose is based on body weight and the condition being treated. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Broad-spectrum anti-parasitic</li><li>Single-dose regimens for many indications</li><li>WHO-GMP certified manufacturing</li><li>Blister packed for freshness</li></ul>"
NICLO500,,Default,simple,Default Category/Supplements,base,Niclosamide 500 mg,"<p>Niclosamide 500 mg is an anti-tapeworm medicine. It works by inhibiting oxidative phosphorylation and glucose uptake in the tapeworm, causing it to detach and be expelled. It is minimally absorbed from the gut, acting locally in the intestine. Supplied in strips of 4 chewable tablets.</p><h3>Key Benefits</h3><ul><li>Effective against beef, pork, fish and dwarf tapeworm</li><li>Acts locally in the intestine</li><li>Chewable tablets</li><li>WHO essential medicine</li></ul><h3>Ingredients / Composition</h3><p>Each chewable tablet contains Niclosamide IP 500 mg.</p><h3>How to Use</h3><p>Chew tablets thoroughly and swallow with a little water after a light meal, as directed by your doctor. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C, protected from light and moisture.</p>","Niclosamide 500mg chewable tablets – an anthelmintic used for tapeworm infections (taeniasis, diphyllobothriasis, hymenolepiasis).",0.2,1,Taxable Goods,"Catalog, Search",39.60,,niclosamide-500-mg,Niclosamide 500 mg,"Niclosamide 500mg chewable tablets – an anthelmintic used for tapeworm infections (taeniasis, diphyllobothriasis, hymenolepiasis).",tabs-yellow.jpg,Niclosamide 500 mg,tabs-yellow.jpg,Niclosamide 500 mg,tabs-yellow.jpg,Niclosamide 500 mg,100,1,1,"name=Pack Size / Option,type=drop_down,required=1,price_type=fixed,price=0.00,sku=20TABLETS,option_title=20 Tablets|name=Pack Size / Option,type=drop_down,required=1,price_type=fixed,price=59.40,sku=60TABLETS,option_title=60 Tablets","brand=Niclosamide,form=Chewable Tablets,ingredients=Each chewable tablet contains Niclosamide IP 500 mg.,dosage=Chew tablets thoroughly and swallow with a little water after a light meal، as directed by your doctor. This is a prescription medicine. Use only under the guidance of a licensed healthcare professional. Do not exceed the prescribed dose. Keep out of reach of children. Store below 25°C، protected from light and moisture.,benefits=<ul><li>Effective against beef، pork، fish and dwarf tapeworm</li><li>Acts locally in the intestine</li><li>Chewable tablets</li><li>WHO essential medicine</li></ul>"
